LOCATION;LOCATION_CAT;INDICATOR;SUBJECT;MEASURE;FREQUENCY;YEAR;Value
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;1990;0
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;1991;27.942
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;1992;26.405
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;1993;26.37
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;1994;25.662
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;1995;25.526
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;1996;27.453
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;1997;29
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;1998;26.765
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;1999;28.095
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2000;26.515
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2001;24.606
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2002;25.263
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2003;25.958
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2004;28.719
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2005;27.19
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2006;27.03
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2007;24.166
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2008;23.343
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2009;23.454
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2010;25.31
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2011;23.287
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2012;22.435
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2013;23.744
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2014;22.587
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2015;20.519
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2016;19.473
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2017;21.251
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2018;19.965
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2019;19.698
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2020;19.438
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2021;19.187
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2022;19.088
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2023;18.864
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2024;18.518
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2025;18.439
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2026;18.365
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2027;18.29
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2028;18.217
AUS;AUS;MEATCONSUMP;BEEF;KG_CAP;A;2029;18.149
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;1990;0
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;1991;14.521
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;1992;15.256
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;1993;15.082
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;1994;15.646
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;1995;15.652
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;1996;14.478
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;1997;14.858
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;1998;15.257
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;1999;15.193
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2000;15.651
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2001;14.892
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2002;16.418
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2003;17.593
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2004;17.718
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2005;18.863
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2006;18.409
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2007;20.221
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2008;19.17
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2009;19.744
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2010;20.129
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2011;19.486
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2012;20.502
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2013;19.9
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2014;20.174
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2015;21.77
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2016;21.4
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2017;22.062
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2018;21.395
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2019;20.252
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2020;20.212
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2021;20.004
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2022;20.086
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2023;20.196
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2024;20.22
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2025;20.304
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2026;20.345
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2027;20.412
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2028;20.459
AUS;AUS;MEATCONSUMP;PIG;KG_CAP;A;2029;20.525
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;1990;22.051
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;1991;22.35
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;1992;22.436
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;1993;23.807
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;1994;24.473
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;1995;24.217
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;1996;24.615
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;1997;25.791
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;1998;27.643
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;1999;28.002
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2000;29.682
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2001;29.225
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2002;32.494
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2003;31.407
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2004;32.81
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2005;34.092
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2006;35.187
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2007;34.769
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2008;33.261
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2009;33.578
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2010;37.645
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2011;39.499
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2012;40.319
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2013;40.161
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2014;40.806
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2015;41.989
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2016;44.512
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2017;43.349
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2018;42.353
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2019;43.488
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2020;43.792
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2021;44.132
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2022;44.504
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2023;44.842
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2024;44.711
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2025;44.803
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2026;44.889
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2027;44.997
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2028;45.122
AUS;AUS;MEATCONSUMP;POULTRY;KG_CAP;A;2029;45.229
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;1990;19.013
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;1991;19.415
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;1992;17.961
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;1993;17.49
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;1994;18.505
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;1995;15.115
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;1996;14.795
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;1997;15.063
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;1998;15.476
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;1999;15.25
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;2000;16.368
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;2001;14.977
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;2002;13.779
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;2003;12.153
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;2004;11.984
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;2005;11.992
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;2006;12.37
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;2007;12.587
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;2008;10.992
AUS;AUS;MEATCONSUMP;SHEEP;KG_CAP;A;2009;10.334
